"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Marshall Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2231,747;2242,037;2230,645;2242,869;2422,927;2655,592;2625,241;2634,419;2689,53;2772,864;2893,428;2781,614;2881,209;3029,421;3236,474;3429,278;3584,024;3638,776;3669,497;4121,199;4526,704;4831,38;5246,723;5469,724;5810,239;5786,253;6306,945;6710,545;6943,294;7149,939;7341,455;7538,102;7740,015
Mauritania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;898,741;1002,023;1026,904;852,513;872,712;912,587;904,326;854,319;812,206;773,412;673,361;641,849;634,588;711,709;796,923;963,498;1357,425;1425,466;1647,288;1475,591;1715,923;2012,828;1946,079;2072,492;1826,78;1668,065;1690,813;1758,542;1882,203;1945,05;2040,677;2152,336;2260,99;2379,854;2346,945;2453,22;2523,586;2590,562;2639,728;2608,223
Mauritius;1285,181;1202,559;1139,539;1195,617;1094,957;1099,752;1473,694;1852,036;2132,884;2174,94;2590,272;2819,084;3133,035;3191,192;3492,709;3954,762;4047,248;3753,498;3751,708;3911,109;4157,831;4081,162;4252,93;5072,811;5701,753;5590,468;5772,667;6663,186;8138,17;7416,659;8108,095;9320,873;9416,335;9766,77;10366,355;9507,999;9967,673;10844,145;11642,891;11407,849;9010,929;9086,524;10267,027;11396,06;12973,298;13999,562;15034,395;16016,167;17047,711;18124,288
Mexico;3557,305;4461,156;3162,5;2519,488;2904,686;3015,01;2043,27;2194,692;2631,484;3144,69;3640,26;4281,697;4873,452;5933,292;6086,828;4109,778;4597,153;5484,708;5759,186;6435,62;7467,739;7902,129;7934,694;7390,343;7806,561;8626,151;9456,912;10063,621;10438,499;8346,772;9632,818;10554,35;10631,077;11099,184;11272,395;9915,089;8999,57;9542,783;9970,967;10259,746;8742,217;10180,182;11259,75;13641,613;15248,788;15956,446;16599,542;17221,425;17883,078;18541,892
Micronesia, Fed. States of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2079,644;2042,84;1923,698;2032,999;2034,555;2145,791;2215,079;2233,027;2270,188;2225,291;2329,628;2367,169;2412,272;2483,688;2656,607;2826,044;2960,255;3107,839;3012,693;3033,927;3015,192;3189,875;3546,689;3933,37;4001,004;3829,739;4063,49;4540,027;4864,704;5119,566;5363,506;5558,945;5720,226;5879,649;6039,222
Moldova;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;290,058;373,927;389,592;485,354;572,302;653,525;575,974;398,41;448,062;505,784;569,109;680,272;894,061;1031,422;1179,323;1526,379;2102,942;1890,647;2428,106;2930,062;3031,129;3307,351;3314,553;2715,782;2857,879;3422,643;4121,047;4376,654;4377,542;5293,206;5726,139;6832,465;7488,443;8386,036;9407,804;10555,316;11845,334;13329,665
Mongolia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1288,653;1324,852;722,215;352,304;419,198;647,441;592,439;511,954;480,917;445,544;473,198;521,317;566,403;639,373;789,958;989,177;1321,606;1616,138;2109,269;1687,55;2602,373;3702,359;4281,33;4293,834;4081,015;3800,11;3575,095;3612,716;4078,182;4309,049;3965,097;4482,853;4959,141;5668,351;6181,886;6541,563;6975,961;7395,987;7832,809;8295,437
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1596,76;1893,751;2080,95;2745,906;3379,902;3680,063;4429,624;5984,697;7397,037;6746,443;6693,865;7327,501;6594,799;7199,165;7405,96;6534,484;7049,664;7820,079;8872,635;8924,593;7689,836;9438,79;9860,393;11696,262;12645,548;13359,653;14060,294;14764,208;15504,593;16265,698
Morocco;1225,165;969,43;953,628;842,002;752,278;741,673;956,733;1030,894;1193,499;1200,487;1351,48;1418,361;1453,799;1340,916;1482,245;1600,892;1745,452;1561,012;1644,073;1614,86;1486,875;1489,702;1573,475;1914,006;2163,48;2232,944;2427,109;2759,516;3189,2;3162,86;3134,698;3367,347;3224,712;3463,601;3527,712;3235,57;3235,218;3401,256;3615,592;3622,679;3375,435;3905,428;3570,115;3888,585;4077,525;4280,752;4490,39;4692,322;4900,389;5119,35
Mozambique;396,816;300,914;300,392;263,659;270,38;353,788;413,827;187,301;164,966;171,727;271,733;289,247;202,714;200,623;197,895;197,737;252,506;297,228;330,149;364,482;334,841;310,076;317,135;340,566;398,646;432,738;451,128;498,838;579,997;535,666;484,961;604,414;671,212;672,832;683,942;599,4;433,672;463,005;510,38;512,216;456,582;504,038;558,299;629,921;659,095;703,449;724,156;815,223;906,259;975,902
Myanmar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;109,093;134,372;159,287;145,105;139,436;177,444;213,4;239,129;266,297;347,813;492,977;593,446;727,194;1015,564;1104,637;1175,911;1244,184;1223,742;1163,794;1177,083;1271,677;1302,277;1462,464;1270,854;1146,239;1189,842;1247,676;1342,215;1444,559;1557,279;1679,3;1811,419
Namibia;no data;no data;no data;no data;no data;no data;no data;no data;no data;1765,605;1908,834;2025,611;2264,913;2099,215;2283,063;2476,947;2406,479;2423,594;2189,317;2118,411;2156,03;1954,968;1825,849;2630,11;3470,147;3742,509;3870,937;4378,564;4198,55;4340,183;5410,977;5870,933;6038,862;5540,619;5555,93;5020,473;4611,508;5438,761;5666,273;5099,427;4225,729;4879,203;4854,445;4664,713;4745,256;4924,524;5110,055;5282,398;5450,463;5624,022
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3066,932;3053,016;3144,743;2509,316;3982,194;4630,943;4813,327;6521,166;10005,183;8975,704;8630,426;7090,709;7825,366;8550,692;10582,207;10567,406;10346,097;14303,427;12268,577;12037,888;12362,25;12314,216;12443,384;12429,281;12458,459;12569,948
Nepal;144,492;165,128;163,054;174,291;180,152;182,892;194,619;197,599;228,087;225,476;226,445;241,458;213,342;223,029;227,325;241,15;243,348;259,233;252,809;255,294;266,158;269,25;269,082;281,039;319,068;354,973;388,995;440,856;532,331;542,536;671,998;795,314;794,093;809,346;827,394;882,308;880,225;1027,965;1161,534;1185,682;1139,192;1229,47;1336,547;1319,643;1397,08;1519,955;1647,083;1785,318;1937,214;2102,012
Netherlands;13750,491;11429,727;11013,574;10682,307;9904,974;10008,042;13875,191;16895,4;17956,109;17597,26;21581,579;22057,794;24191,955;23356,332;24935,531;29350,802;29084,068;26808,388;28018,706;28393,845;26327,867;26996,172;29401,976;35814,268;40477,3;42054,884;44936,006;51880,384;58015,396;52807,447;51165,823;54342,114;50175,559;52276,986;53026,478;45302,804;46165,177;48799,874;53224,694;52672,504;52222,364;58960,71;57427,756;62718,681;63749,903;65315,916;67444,988;69642,68;71869,919;73990,171
New Zealand;7257,484;7514,061;7381,334;7074,64;6970,851;6953,64;8385,754;11205,85;13663,589;13078,997;13447,633;12424,802;11751,977;12537,731;14612,424;16932,664;18506,444;18206,151;14889,751;15348,777;14021,862;13669,348;15706,697;20460,331;24848,791;27385,506;26219,918;31914,298;31762,876;28270,425;33393,032;38061,507;39683,612;42081,344;44284,679;38224,631;39415,045;42289,966;42757,124;42274,23;41341,08;48861,454;47284,147;47536,739;48530,814;49644,841;51049,101;52395,131;54052,205;55738,463
Nicaragua;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;898,199;935,34;947,14;940,143;973,071;999,413;1030,74;1054,66;1011,904;1010,231;1077,784;1152,801;1224,724;1326,658;1498,88;1438,131;1499,068;1652,097;1728,147;1783,56;1909,424;2029,124;2091,463;2147,856;2008,404;1940,115;1952,183;2163,083;2371,681;2608,085;2791,231;2973,508;3167,689;3374,551;3594,921;3829,682
Niger;609,433;510,028;458,113;395,659;310,002;295,81;378,695;430,394;426,027;394,734;435,341;394,9;393,718;343,177;211,016;241,954;243,965;224,475;250,234;231,66;197,275;207,769;227,424;267,41;285,39;320,925;335,336;389,258;477,272;462,269;476,064;511,49;528,921;551,557;562,888;484,173;497,885;517,589;570,983;554,124;568,606;593,802;592,241;610,635;670,104;700,75;731,3;760,263;791,826;824,13
Nigeria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;652,915;615,663;521,905;553,126;760,992;1224,938;1560,382;1655,818;1802,587;481,951;554,64;583,187;730,836;780,399;963,236;1221,651;1563,031;1791,823;2197,776;1927,476;2328,425;2543,504;2756,41;2998,068;3222,691;2718,586;2176,001;1968,563;2153,094;2229,854;2083,162;2088,09;2202,456;1687,568;1109,899;1076,518;1065,914;1085,256;1103,454;1120,672
North Macedonia ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1263,863;1383,543;1824,418;2387,158;2348,109;1980,429;1888,755;1931,989;1878,237;1839,616;1974,061;2444,352;2812,36;3112,307;3431,004;4192,864;5014,067;4782,411;4824,744;5410,652;5043,281;5621,982;5927,734;5257,378;5597,092;5957,992;6702,781;6694,489;6629,372;7600,042;7498,577;8147,93;8847,378;9522,223;10229,125;11044,67;11874,168;12681,037
Norway;15746,262;15484,681;15196,29;14906,174;14968,787;15728,224;18853,038;22445,038;24143,118;24245,515;28187,293;28514,498;30432,89;27880,632;29236,375;34790,001;37225,29;36561,409;34732,137;36300,553;38094,597;38553,843;43083,871;50161,513;57676,821;66924,047;74255,799;85276,992;97119,989;80115,693;87823,805;100815,931;101779,186;103214,973;97302,705;74568,136;70629,25;75940,175;82605,919;76303,683;68275,277;92955,206;108438,547;87739,41;94659,918;99063,714;100171,014;102550,758;104875,665;107586,572
Oman;5357,779;6019,899;6317,029;6148,449;6324,402;7025,7;5214,195;5145,493;5001,098;5278,566;7267,924;6806,242;7213,061;6995,28;7010,595;7284,846;7869,076;7983,97;6920,864;7554,515;9266,358;9088,213;9285,343;9792,637;11042,532;13563,457;15946,355;17716,421;25061,257;19235,875;21677,793;23518,573;24129,012;23328,489;23219,693;18924,97;17020,387;17731,849;19885,103;19069,311;17076,319;19652,02;23446,795;21623,401;20913,3;20660,139;20697,247;20809,678;21005,5;20916,436
Pakistan;479,064;550,438;584,379;530,372;560,154;545,174;543,594;553,482;621,142;631,367;615,815;684,45;713,395;735,815;723,052;823,987;839,336;807,501;784,545;725,396;733,461;696,936;689,971;771,761;885,149;948,828;1032,277;1146,082;1228,232;1108,978;1137,985;1301,736;1377,776;1390,648;1423,889;1535,348;1566,625;1653,406;1698,034;1500,683;1376,512;1565,575;1650,678;1460,74;no data;no data;no data;no data;no data;no data
Palau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7900,288;8304,592;8404,127;7923,588;8462,146;9327,328;9678,117;10136,305;10498,22;9882,582;10080,443;10885,959;12294,283;13004,425;14149,356;16037,963;17161,725;16383,831;16289,539;15876,323;14624,096;13165,721;13941,386;15084,549;17441,487;19893,274;21010,385;21889,757;22689,037;23543,37
Panama;2146,47;2371,712;2559,063;2567,34;2619,583;2710,017;2755,167;2708,269;2292,215;2250,821;2397,225;2580,386;2871,87;3071,246;3207,884;3212,815;3711,349;3929,349;4173,999;4286,698;4261,463;4244,106;4324,661;4469,688;4807,66;5146,047;5598,289;6350,183;7369,186;7806,732;8332,576;9653,933;11063,257;12273,18;13221,567;14102,156;14866,506;15731,102;16181,217;16526,419;13342,722;15540,795;17409,626;18725,739;19369,476;20092,016;21058,012;22070,452;23131,568;24243,702
Papua New Guinea;1380,844;1319,408;1223,39;1194,658;1079,594;975,967;1039,809;1159,833;1565,167;1455,035;1265,882;1444,104;1546,581;1713,713;1834,984;1581,631;1639,773;1527,441;1138,365;1013,232;1007,517;862,099;814,701;995,275;1111,943;1269,526;1411,902;1576,159;1883,527;1833,09;2132,185;2552,043;2865,783;2800,178;2992,711;2742,906;2567,586;2755,488;2861,448;2877,497;2715,968;2216,458;2628,156;2524,633;2530,37;2550,861;2569,773;2599,04;2638,319;2676,699
Paraguay;1299,661;1608,463;1636,527;1762,992;1390,886;1154,145;1335,761;1084,695;1392,417;977,835;1185,277;1585,242;1592,055;1580,207;1681,396;1897,134;2008,188;2003,578;1824,648;1706,395;1675,793;1577,681;1312,083;1377,521;1693,886;1857,78;2285,125;2988,684;4054,044;3623,931;4329,69;5301,834;5153,417;5892,846;6065,282;5360,077;5265,061;5608,156;5703,324;5302,239;4885,396;5433,251;5628,472;5806,988;5984,287;6191,214;6537,37;6804,303;7084,542;7377,676
Peru;1150,686;1356,398;1316,278;999,442;1006,416;851,139;1248,386;2015,875;1560,368;1885,285;1285,664;1511,937;1543,242;1469,214;1815,739;2119,375;2163,399;2238,263;2106,752;1872,791;1910,357;1910,299;1998,363;2147,735;2405,294;2677,739;3130,79;3633,714;4285,984;4276,689;5192,593;5913,282;6631,809;6904,355;6851,093;6413,903;6430,416;6965,195;7187,688;7233,468;6320,089;6848,211;7336,241;7932,905;8290,943;8566,977;8839,338;9115,392;9396,777;9684,88
Philippines;774,484;829,816;843,471;735,714;678,342;645,597;615,047;666,915;744,307;816,961;828,821;830,407;946,762;949,733;1094,543;1237,311;1316,406;1279,835;988,487;1112,353;1087,287;1003,957;1050,297;1062,619;1137,068;1261,241;1470,825;1764,683;2011,634;1923,674;2237,157;2473,249;2721,252;2903,189;2995,504;3039,234;3107,646;3153,314;3279,519;3512,195;3325,836;3576,11;3623,593;3867,672;4130,275;4414,976;4730,267;5065,527;5463,058;5895,856
Poland;1595,047;1497,841;1803,464;2056,958;2042,04;1899,817;1965,541;1691,129;1819,392;1772,091;1629,047;2105,486;2315,647;2351,742;2692,704;3612,264;4066,179;4075,977;4459,097;4348,147;4485,064;4987,859;5205,517;5699,557;6684,675;8023,921;9031,797;11252,863;13999,496;11532,283;12510,805;13776,572;13010,54;13550,385;14183,116;12545,188;12369,893;13819,834;15504,366;15694,594;15792,61;18008,152;18278,144;21995,995;23013,882;24143,698;25646,252;26976,259;28087,029;29259,126
Portugal;3338,764;3296,654;3095,096;2838,655;2596,075;2716,645;3774,582;4724,451;5532,62;5977,577;7957,244;9026,301;10863,487;9547,643;9977,615;11787,315;12187,582;11594,755;12216,689;12487,712;11531,467;11734,878;12927,584;15793,852;18055,893;18790,561;19840,474;22813,667;24946,256;23126,175;22539,038;23213,126;20576,825;21653,505;22109,318;19252,015;19986,362;21482,834;23573,299;23333,317;22224,566;24838,734;24798,524;27880,066;28969,288;29982,563;31234,692;32506,273;33829,599;35153,429
Puerto Rico;4507,15;4940,784;5146,929;5257,186;5777,438;6058,641;6495,499;6987,398;7579,339;8094,29;8675,576;9093,48;9687,443;10255,532;10942,949;11667,589;12305,024;12968,394;14430,159;15293,182;16192,127;18243,709;18972,77;19820,208;20988,989;21959,317;22935,951;23664,874;24898,335;25768,726;26435,742;27278,853;27944,742;28513,15;28981,343;29755,35;30585,55;31347,273;31549,375;32851,875;32643,179;33240,313;35448,438;36369,133;37171,719;38203,077;39415,171;41312,057;42902,328;44476,892
Qatar;27242,483;27819,566;22657,373;18003,756;17496,536;15495,701;11644,458;11773,23;10853,896;11039,938;13150,172;11500,519;13038,976;11797,162;12009,396;13689,653;15143,479;18841,6;15421,783;19689,651;30461,311;28600,029;30701,131;35919,758;42548,115;54357,783;60591,776;65934,266;72484,634;53822,909;69796,138;96827,857;101933,117;99180,39;93054,141;66346,911;57965,377;59127,513;66421,617;63007,696;50962,499;65400,854;80572,587;78696,207;81399,515;83381,717;88598,208;94837,145;98586,983;101321,439
Romania;2052,081;2450,352;2441,211;2125,157;1710,302;2101,997;2264,368;2517,949;2593,057;2314,744;1641,855;1241,063;847,68;1147,325;1317,048;1563,117;1565,472;1571,689;1885,349;1600,881;1667,613;1800,966;2108,445;2672,061;3487,699;4608,801;5744,634;8273,885;10446,484;8540,187;8391,048;9546,749;8919,363;9481,981;10025,457;8951,736;9378,957;10717,263;12465,699;12928,148;13021,962;14895,318;15821,133;18175,989;19529,841;20693,27;22083,359;23598,49;25114,876;26635,981
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;482,052;1321,756;1979,465;2263,016;2785,404;2932,113;1948,059;1424,156;1898,155;2250,201;2546,779;3190,609;4395,83;5697,621;7416,297;9757,472;12463,807;9160,112;11432,428;14315,938;15303,447;15946,458;14024,384;9266,725;8731,195;10726,771;11257,881;11554,009;10160,571;12635,953;15487,696;13647,814;14391,176;14659,325;14883,648;15145,817;15426,145;15683,454
Rwanda;292,782;320,559;329,641;339,297;317,361;364,611;399,283;428,416;442,811;447,143;417,717;298,957;317,043;325,858;223,451;245,276;268,93;345,662;338,306;284,166;266,055;248,99;242,338;257,7;277,634;334,407;368,508;442,334;545,574;585,04;612,395;674,982;730,185;728,395;749,269;758,834;753,876;783,521;797,104;836,016;803,372;853,124;1004,718;1038,642;988,74;998,04;1049,035;1107,422;1182,635;1271,273
Saint Kitts and Nevis;1342,102;1610,662;1845,826;1827,172;2140,448;2398,651;2838,188;3268,041;3900,915;4377,767;4994,094;4969,991;5447,66;5861,979;6464,269;6874,425;7241,085;8045,301;8276,953;8670,442;9261,826;9963,419;10388,287;10109,465;10882,512;11710,746;13747,809;14660,963;16491,885;16373,91;16427,612;17571,611;17293,961;18315,992;19944,975;20025,807;21079,443;22147,971;22533,727;23205,126;18553,579;18034,852;20423,371;22366,128;23705,137;25187,73;26634,181;27966,676;29313,166;30732,485
Saint Lucia;1373,087;1546,061;1439,284;1528,786;1922,756;2141,232;2520,48;2743,223;3096,607;3463,514;4069,783;4249,598;4599,798;4604,862;4736,704;5003,443;5119,759;5181,542;5588,756;5821,497;5843,353;5553,186;5558,316;6051,87;6490,831;6861,984;7614,247;7944,157;8462,296;8248,564;8555,92;9113,38;9232,222;9542,229;10008,505;10291,46;10591,881;11282,751;11585,525;11773,428;8496,098;10295,001;12703,961;13545,906;14101,38;14660,583;15197,064;15711,662;16243,685;16793,723
Saint Vincent and the Grenadines;903,445;1110,425;1227,421;1309,102;1435,282;1537,223;1686,1;1828,411;2077,695;2211,424;2456,285;2584,104;2815,081;2896,038;2924,036;3188,478;3340,515;3500,225;3755,704;3922,719;3973,449;4284,994;4518,089;4710,272;5082,069;5353,688;5933,621;6572,506;6740,48;6564,113;6613,132;6544,688;6686,015;6988,344;7028,297;7154,784;7390,469;7643,104;8001,555;8234,203;7851,359;7873,226;8538,685;9377,364;10150,323;10745,206;11254,526;11776,52;12322,725;12894,264
Samoa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1655,952;1509,117;1552,03;1557,508;1638,535;1927,085;2341,911;2704,296;2850,163;3121,319;3733,905;3348,774;3658,418;3969,173;4088,771;4182,937;4153,039;4260,583;4325,408;4496,277;4390,958;4472,223;4308,015;4150,674;4064,061;4478,194;4839,664;5096,051;5297,464;5458,296;5609,656;5772,242
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;59313,405;61150,61;64498,508;72991,531;79110,201;67011,543;60426,235;57512,891;50336,185;51986,532;51234,869;43068,693;44308,666;45887,687;49477,281;48043,86;45640,984;54733,239;52541,687;57259,3;59405,352;60913,271;62676,202;64467,385;66334,868;68186,05
Saudi Arabia;19543,4;20846,234;16507,688;13252,612;11687,983;9666,717;7698,924;7221,944;7083,156;7287,351;8562,256;9143,216;9242,614;8740,69;8663,638;8957,462;9666,916;9858,952;8512,488;9144,561;10448,532;9898,261;9937,388;11027,901;12891,306;15943,392;17827,359;19196,033;23403,614;18836,932;22028,346;26966,315;28348,593;27290,198;27079,664;22453,563;21515,651;23081,196;28036,044;27892,807;23271,404;28396,086;34454,212;32529,702;33039,932;34295,407;35285,513;36302,672;37238,233;38672,433
Senegal;767,972;677,895;645,372;559,501;529,936;563,251;773,09;902,228;865,668;828,149;936,148;894,485;930,568;852,61;560,956;693,418;706,864;642,569;686,369;689,683;614,004;648,446;680,83;831,623;931,745;993,237;1027,786;1197,551;1403,795;1307,516;1272,622;1366,534;1318,614;1372,686;1397,017;1219,373;1269,553;1361,221;1458,73;1436,224;1465,244;1603,346;1569,546;1729,274;1899,731;2084,308;2179,998;2266,308;2395,366;2481,079
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2417,326;1895,421;1587,882;1302,459;1733,695;2291,259;3009,723;3486,086;3695,343;4398,828;5878,873;7087,453;6168,228;5673,62;6809,94;6014,914;6752,796;6598,935;5588,979;5765,203;6292,546;7252,404;7417,206;7733,803;9186,968;9537,684;11327,13;12383,904;13324,37;14372,028;15446,766;16570,011;17823,626
Seychelles;2329,353;2403,455;2293,938;2280,452;2338,076;2588,553;3165,945;3638,988;4128,118;4407,201;5302,844;5314,655;6128,346;6559,088;6555,429;6748,825;6583,091;7280,929;7715,784;7747,491;7578,829;7663,083;8431,923;8524,935;10176,659;11093,314;12014,418;12155,702;11480,433;9707,265;10805,099;11647,017;11999,897;14762,223;15189,845;15375,608;16721,449;17738,31;18602,985;19366,719;14235,574;15195,623;20804,533;21575,319;21875,075;22973,109;24207,453;25616,316;27139,876;28741,897
Sierra Leone;479,601;501,744;552,581;469,374;539,979;450,535;330,043;281,362;451,564;405,247;219,455;261,748;228,231;259,186;308,752;295,71;318,646;286,074;223,939;218,906;205,251;228,033;251,704;265,323;264,775;285,106;323,259;360,425;409,443;391,213;401,835;448,324;566,37;716,148;713,53;592,903;525,948;495,812;533,972;521,396;508,812;509,482;492,796;460,598;526,587;520,125;520,184;533,541;552,159;572,058
Singapore;5004,992;5672,105;6000,032;6717,837;7160,262;6788,387;6870,769;7794,688;9328,951;10725,743;12763,342;14501,96;16136,244;18290,132;21552,408;24914,851;26232,869;26375,868;21829,278;21796,642;23852,834;21699,748;22159,833;23730,379;27608,075;29961,308;33768,446;39432,895;40008,577;38926,813;47236,672;53891,462;55547,546;56967,426;57564,802;55645,607;56899,903;61162,097;66840,654;66081,704;61466,819;79601,393;88428,724;84734,277;88446,924;91685,215;95271,736;98816,02;102460,237;106420,978
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2571,858;2950,872;3711,964;4004,761;4076,513;4236,587;3869,052;3839,791;3982,454;4626,832;6341,548;8040,084;9141,855;10700,341;14374,867;18074,643;16591,518;16925,867;18526,876;17519,973;18284,914;18734,166;16399,946;16572,743;17591,574;19508,287;19397,274;19539,836;21732,609;21261,948;24337,251;25934,992;27523,336;28952,303;30291,808;31712,624;33180,935
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9639,353;8357,938;8468,242;10748,462;10810,791;10470,497;11168,219;11509,456;10259,439;10502,321;11804,818;14873,628;17254,827;18152,062;19723,859;23912,494;27744,28;24854,16;23570,184;25156,069;22674,365;23516,591;24263,895;20898,86;21681,281;23511,316;26224,257;26138,955;25617,868;29338,031;28526,671;32233,058;34026,494;35429,874;37077,084;38790,722;40628,499;42508,741
Solomon Islands;793,112;812,633;782,719;711,88;691,194;611,274;529,419;540,761;598,335;570,057;689;709,333;815,246;885,848;1153,358;1306,637;1381,767;1385,676;1171,173;1215,225;1017,394;965,938;795,544;788,629;866,985;1014,727;1119,587;1260,251;1389,053;1428,609;1604,149;1938,786;2131,454;2250,761;2274,897;2168,568;2227,003;2310,86;2474,44;2417,332;2236,417;2114,817;2161,97;2204,929;2252,633;2342,918;2427,663;2519,405;2611,12;2704,343
Somalia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;437,51;481,924;514,688;531,556;558,643;606,778;592,097;655,442;622,951;647,762;667,318;727,678;775,944;818,894;863,598;909,831;957,141;1002,158
South Africa;3074,684;3122,686;2806,158;3062,892;2633,905;1955,165;2176,064;2801,31;2954,825;3004,44;3425,585;3587,879;3802,578;3716,193;3786,21;4145,21;3869,7;3937,658;3508,14;3423,595;3382,066;2964,029;2791,18;4209,22;5415,089;6033,211;6276,173;6776,465;6355,879;6552,265;8130,193;8799,477;8207,059;7458,04;6984,926;6256,667;5750,785;6678,292;6991,709;6622,629;5672,278;6983,509;6684,479;6138,248;5974,912;6067,003;6182,388;6318,676;6444,031;6572,774
South Sudan, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1659,546;1041,463;1337,232;1316,271;1289,835;237,024;143,342;240,32;302,262;393,589;418,969;550,861;485,913;421,857;439,547;447,72;462,768;491,563;544,404
Spain;6128,024;5381,909;5171,535;4501,838;4471,654;4694,759;6477,301;8187,29;9598,667;10566,133;13693,638;14697,501;16013,155;13409,697;13419,62;15475,607;16095,75;14782,949;15457,11;15814,188;14761,108;15400,911;17097,916;21501,074;24932,129;26438,031;28414,133;32588,562;35484,39;32131,382;30566,877;31676,69;28344,913;29094,337;29537,627;25776,217;26549,363;28211,927;30438,338;29603,298;26968,374;30563,552;29799,745;33071,349;34045,166;35072,464;35852,484;36646,005;37526,88;38428,381
Sri Lanka;333,918;342,812;365,498;389,999;452,288;443,046;470,142;484,746;501,62;498,479;564,868;611,088;651,332;689,023;787,255;829,22;903,331;1003,944;1026,15;1025,7;1065,469;1017,154;1061,683;1162,71;1259,771;1477,595;1698,156;1928,714;2410,801;2472,242;2894,26;3320,074;3446,355;3737,366;3969,713;4057,742;4150,367;4401,055;4360,149;4082,694;3852,39;3996,572;3341,996;no data;no data;no data;no data;no data;no data;no data
Sudan;486,908;339,389;239,807;318,513;375,019;253,184;328,588;516,781;404,705;696,391;87,197;95,292;113,476;186,506;205,922;239,507;292,909;350,723;366,582;352,442;422,316;492,676;554,652;635,575;772,939;996,677;1249,767;1599,596;1700,513;1401,244;1637,419;2034,461;1396,292;1462,582;1628,497;1679,025;1638,638;1199,177;796,298;777,066;777,313;764,872;723,252;536,922;546,707;544,379;546,112;542,75;536,893;523,605
Suriname;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1412,471;1537,047;1405,473;1093,836;1212,382;2272,326;2787,957;2947,257;3492,771;2839,043;2902,478;2466,333;3078,446;3549,926;4034,358;4773,442;5545,702;6123,002;7266,624;7864,591;8734,16;8756,276;9767,349;9936,505;9966,713;9036,203;5762,414;6158,572;6772,07;6715,747;4782,092;4987,986;5784,332;5885,181;6702,27;7000,943;7177,885;7462,615;7688,594;8006,5
Sweden;16877,243;15396,745;13576,621;12470,948;12976,142;13549,507;17852,72;21629,289;24339,27;25412,176;30253,863;31490,221;32584,883;24351,052;25978,285;30246,923;32986,123;30307,156;30585,081;30928,571;29589,141;27207,49;29846,186;37249,257;42736,876;43349,851;46425,841;53496,534;55929,862;46734,909;52658,794;60540,218;57816,023;60845,007;59704,814;51274,278;51590,473;53459,072;54295,731;51694,498;52706,294;61203,119;56114,285;56224,808;58528,523;60672,785;62869,958;65252,047;67648,9;70143,702
