"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;952,331;1225,456;1415,096;1540,514;1480,624;1540,266;1785,289;2254,449;2699,054;2903,602;3306,785;4073,011;4984,537;4711,119;4633,861;5089,853;4773,164;5141,572;5252,939;4662,977;4875,228;5230,13;5859,283;5867,26;5800,39;6800,487;7064,286;7856,628;8415,97;8926,879;9439,673;9938,657;10456,047;11077,538
Botswana;1219,569;1057,067;1075,452;1145,987;1097,548;985,391;1288,644;1947,606;2439,381;2628,077;2797,478;2718,95;2729,751;2674,397;2802,477;3084,8;3087,859;3071,641;2886,26;3188,541;3290,347;3099,104;3005,538;4088,461;4743,633;5194,705;5142,914;5371,808;5345,848;4938,25;6041,732;7080,778;6392,987;6436,603;6844,033;5869,738;6411,552;6705,341;6947,818;6679,188;5863,182;7238,796;7737,655;7642,011;7875,313;8243,376;8847,123;9404,977;10001,764;10637,143
Brazil;1203,615;1353,019;1415,339;1110,691;1082,233;1682,789;1913,312;2042,86;2240,525;3021,975;3108,808;2717,508;2561,124;2828,455;3547,02;4923,871;5281,678;5399,969;5199,453;3567,631;3864,917;3256,18;2926,341;3165,195;3750,129;4938,537;6066,958;7572,61;9096,943;8851,059;11578,7;13631,421;12782,844;12752,255;12601,257;9182,996;9117,558;10419,575;9629,603;9364,237;7344,529;8269,709;9612,062;10642,437;11351,871;11808,697;12509,553;13230,253;13847,23;14507,244
Brunei Darussalam;no data;no data;no data;no data;no data;21770,731;14544,374;16561,019;15281,058;16683,224;19428,846;20171,327;20679,723;20430,168;21350,36;24895,613;24460,83;23344,446;17294,914;18237,075;20473,284;18646,04;19037,814;20975,54;24759,511;29459,699;34869,24;36678,272;42529,703;31287,341;35437,251;47092,346;47776,368;44865,244;41947,487;31353,779;27321,997;28443,168;31074,01;29865,278;27174,73;31781,303;37764,306;34248,034;35111,31;36942,888;38541,761;40229,877;42186,422;44549,695
Bulgaria;4286,209;4609,426;4793,655;4913,838;5210,542;4458,09;3946,885;4581,216;7506,638;7678,816;3407,07;336,65;1380,594;758,059;1348,67;2284,824;1494,786;1386,466;1854,468;1689,293;1625,322;1797,392;2090,683;2710,577;3370,382;3869,588;4477,028;5815,474;7161,75;6878,061;6754,23;7872,225;7453,726;7703,869;7925,445;7096,339;7593,706;8409,665;9485,446;9909,937;10165,58;12297,273;14023,892;15854,324;16942,519;18075,632;19156,622;20209,419;21324,537;22446,085
Burkina Faso;338,66;287,809;261,617;233,14;203,12;218,83;279,032;315,981;339,602;330,706;381,987;376,497;393,316;365,7;214,467;258,491;273,892;252,618;281,638;293,779;249,18;260,445;286,551;363,727;405,267;443,189;457,366;516,811;621,822;603,222;627,783;727,484;734,438;762,315;767,569;632,191;665,575;710,541;780,482;765,132;824,248;887,527;830,449;870,833;910,21;952,383;992,331;1033,073;1076,211;1120,34
Burundi;232,381;234,94;241,083;247,995;218,999;247,644;253,424;231,932;211,184;213,175;207,113;207,674;187,243;162,572;157,474;167,177;142,588;157,054;141,755;133,412;130,225;127,349;116,392;108,066;122,381;148,71;164,575;170,174;195,79;208,78;231,549;247,097;250,118;255,319;273,133;304,243;281,062;291,859;271,289;261,294;259,906;273,956;310,952;324,904;230,044;239,663;267,079;289,336;309,41;320,783
Cabo Verde;541,435;522,81;517,666;499,536;466,312;476,329;645,817;783,24;861,862;853,014;957,369;974,873;1062,47;1046,265;1180,486;1378,161;1385,771;1322,336;1376,757;1541,831;1399,088;1387,33;1501,545;1792,291;2015,916;2194,626;2253,898;2531,372;2993,701;3343,444;3632,185;4028,638;3722,1;3900,957;3878,774;3283,571;3438,763;3596,388;3811,549;4054,141;3286,925;3547,764;3939,363;4368,07;4655,649;4914,9;5171,875;5443,203;5724,863;6027,876
Cambodia;no data;no data;no data;no data;no data;no data;26,842;17,871;34,048;41,457;104,24;225,192;263,638;253,183;276,757;333,643;330,146;315,505;279,689;306,664;313,224;345,368;368,731;406,869;465,695;550,21;639,874;763,623;903,246;912,75;992,085;1133,384;1241,402;1356,991;1485,892;1606,561;1735,785;1888,07;2097,235;2281,377;2122,7;2187,734;2319,19;2460,351;2627,767;2807,731;3001,602;3205,566;3417,14;3633,077
Cameroon;1004,846;1106,193;1031,862;1012,33;1041,933;1059,933;1344,534;1514,218;1493,9;1292,834;1255,123;1357,676;1207,539;1222,984;808,04;745,55;808,211;794,939;772,304;765,544;660,382;687,404;756,14;949,02;1089,418;1101,546;1147,497;1277,667;1439,39;1409,942;1353,407;1464,888;1404,412;1527,773;1604,627;1382,65;1412,866;1468,929;1585,96;1533,161;1539,354;1667,318;1594,592;1711,341;1814,944;1919,991;2010,068;2099,821;2178,16;2263,404
Canada;11281,422;12396,666;12543,938;13493,198;13947,358;14185,922;14539,75;16408,139;19041,182;20842,455;21572,137;21885,57;20984,778;20210,452;20024,581;20706,725;21325,69;21930,485;21046,556;22340,553;24296,721;23859,77;24279,8;28340,085;32178,496;36440,967;40559,017;44717,074;46773,744;40989,278;47625,742;52285,815;52745,057;52711,32;51025,428;43628,425;42382,499;45192,368;46617,97;46430,975;43573,195;52520,512;55612,897;53547,719;54866,046;57021,076;58907,323;60729,072;62636,191;64652,555
Central African Republic;313,369;316,495;298,747;279,719;265,441;340,227;431,342;465,181;490,939;474,879;539,656;502,896;489,786;418,922;268,106;340,988;298,443;285,804;296,103;290,99;238,505;242,794;260,865;310,302;336,409;356,688;381,315;427,313;485,807;482,648;492,078;551,028;566,199;380,304;424,67;377,476;402,053;450,744;488,564;480,167;494,511;525,281;490,139;514,097;537,601;559,462;580,287;598,99;617,372;637,962
Chad;222,856;258,003;243,75;238,124;249,329;262,918;314,369;345,453;391,065;357,56;417,245;400,386;404,232;342,139;268,293;318,05;341,819;317,438;346,26;294,234;256,354;303,995;341,005;450,958;700,214;900,944;980,085;1108,571;1283,422;1124,383;1195,527;1313,564;1265,051;1279,847;1332,915;1028,116;920,198;888,615;990,693;935,428;889,735;948,711;942,738;976,128;1014,082;1038,891;1066,295;1096,552;1130,074;1165,794
Chile;2598,159;3025,972;2219,964;1774,676;1698,949;1434,434;1515,068;1756,21;2035,335;2305,635;2521,569;2849,743;3392,088;3572,096;4058,557;5153,88;5387,405;5799,339;5475,546;4985,768;5099,922;4608,057;4479,771;4824,87;6183,906;7558,009;9410,392;10447,116;10759,738;10176,733;12723,064;14560,249;15316,01;15740,391;14582,85;13494,489;13722,878;15003,77;15755,003;14551,577;13056,638;16037,956;15238,627;16815,783;16616,231;18545,759;19258,396;20009,758;20787,49;21566,944
China, People's Republic of;306,98;288,491;279,971;296,509;301,111;292,99;279,908;299,842;368,079;406,534;346,873;356,759;420,025;520,966;468,658;603,526;703,06;774,91;820,903;865,236;951,163;1044,958;1141,14;1282,21;1499,712;1751,368;2095,239;2691,048;3446,695;3813,408;4499,803;5553,242;6282,709;7039,574;7645,875;8034,287;8063,446;8760,259;9848,949;10170,061;10525,001;12572,071;12642,847;12513,871;13136,482;14037,338;14928,761;15833,571;16781,705;17704,741
Colombia;1682,427;1792,984;1878,86;1827,905;1767,893;1623,658;1592,848;1624,054;1714,91;1694,091;1691,106;1712,347;1986,543;2209,203;2726,817;3035,313;3137,068;3399,33;3090,903;2673,665;2535,477;2461,328;2424,349;2313,535;2827,173;3493,986;3836,672;4834,427;5622,121;5330,795;6498,573;7518,292;8237,281;8409,688;8312,046;6337,022;6037,126;6577,287;6923,64;6540,141;5366,991;6239,525;6691,211;6971,669;7327,118;7525,465;7776,7;8099,661;8435,699;8775,072
Comoros;684,569;584,519;541,617;513,524;490,137;482,697;629,744;741,276;772,133;731,08;868,945;895,707;955,474;916,695;660,355;806,805;789,145;714,272;701,452;703,067;628,071;675,05;757,399;949,68;1055,357;1085,659;1110,984;1251,857;1403,796;1351,145;1322,638;1450,159;1403,417;1500,731;1505,178;1231,135;1256,035;1300,566;1386,014;1359,75;1357,291;1381,767;1281,795;1352,918;1384,485;1421,304;1460,721;1493,222;1522,976;1552,404
Congo, Dem. Rep. of the;2730,694;2301,277;2422,242;1891,283;1221,72;1080,898;1174,016;1075,998;1206,847;1188,851;1192,38;1120,914;973,197;1222,443;639,608;601,803;750,736;642,729;461,123;410,453;397,025;146,542;171,076;171,505;189,173;226,776;265,901;310,819;366,699;291,745;338,802;387,825;427,848;481,137;512,244;519,68;477,259;478,789;564,342;578,891;546,43;620,605;681,055;673,033;714,763;779,729;835,574;899,209;954,074;1010,148
Congo, Republic of ;1268,332;1008,636;853,044;752,384;671,076;667,569;885,759;1043,902;1077,321;1071,039;1219,584;1237,554;1301,275;1157,837;774,866;896,009;1008,344;893,112;762,522;877,222;1156,361;933,558;999,604;1128,049;1439,638;1811,59;2116,981;2220,174;2848,341;2281,47;2965,182;3414,461;3756,238;3719,705;3623,464;2348,056;2106,937;2226,946;2716,492;2509,047;2014,193;2293,987;2338,415;2349,952;2456,868;2502,076;2562,217;2637,094;2723,138;2833,752
